==================== 2026-01-11T23:51:55.436057Z | 891c2d17-7534-4e10-bc9a-2d1ebcbc41ba ====================
23:51:55.438544 [info ]: Starting dbt LSP server
23:51:55.438914 [info ]: Connecting to LSP client on port 8000
23:51:55.441412 [info ]: Successfully connected to LSP client
23:51:55.441433 [info ]: Creating LSP service...
23:51:55.518135 [info ]: Creating LSP server...
23:51:55.518157 [info ]: Starting LSP server...
23:51:55.596275 [info ]: Started loading project
23:51:55.622690 [info ]: Loading ~/.dbt/profiles.yml
23:51:55.633674 [info ]: Finished loading project [  0.04s]
23:55:04.881545 [info ]: Loading ~/.dbt/profiles.yml
23:55:07.143525 [info ]: Loading ~/.dbt/profiles.yml
00:00:40.022602 [info ]: Loading ~/.dbt/profiles.yml
00:00:41.866233 [info ]: Loading ~/.dbt/profiles.yml
00:01:52.587748 [info ]: Loading ~/.dbt/profiles.yml
00:01:52.838985 [info ]: Loading ~/.dbt/profiles.yml
00:01:52.922128 [info ]: Loading ~/.dbt/profiles.yml
00:01:53.010336 [info ]: Loading ~/.dbt/profiles.yml
00:01:53.186003 [info ]: Loading ~/.dbt/profiles.yml
00:01:53.573120 [info ]: Loading ~/.dbt/profiles.yml
00:02:16.662147 [info ]: Loading ~/.dbt/profiles.yml
00:05:53.815065 [info ]: Loading ~/.dbt/profiles.yml
00:05:55.563209 [info ]: Loading ~/.dbt/profiles.yml
00:06:11.376209 [info ]: Loading ~/.dbt/profiles.yml
00:06:11.635106 [info ]: Loading ~/.dbt/profiles.yml
00:06:11.717562 [info ]: Loading ~/.dbt/profiles.yml
00:06:11.797356 [info ]: Loading ~/.dbt/profiles.yml
00:06:12.113549 [info ]: Loading ~/.dbt/profiles.yml
00:06:12.198673 [info ]: Loading ~/.dbt/profiles.yml
00:06:12.504593 [info ]: Loading ~/.dbt/profiles.yml
00:09:41.229923 [info ]: Loading ~/.dbt/profiles.yml
00:09:43.183699 [info ]: Loading ~/.dbt/profiles.yml
00:10:43.313565 [info ]: Loading ~/.dbt/profiles.yml
00:10:43.562819 [info ]: Loading ~/.dbt/profiles.yml
00:10:43.642773 [info ]: Loading ~/.dbt/profiles.yml
00:10:43.722211 [info ]: Loading ~/.dbt/profiles.yml
00:10:43.916395 [info ]: Loading ~/.dbt/profiles.yml
00:10:44.313920 [info ]: Loading ~/.dbt/profiles.yml
00:10:51.510758 [info ]: Loading ~/.dbt/profiles.yml
00:10:51.852299 [info ]: Loading ~/.dbt/profiles.yml
00:11:14.333099 [info ]: Loading ~/.dbt/profiles.yml
00:13:32.376870 [info ]: Loading ~/.dbt/profiles.yml
00:13:34.388902 [info ]: Loading ~/.dbt/profiles.yml
00:16:47.505885 [info ]: Loading ~/.dbt/profiles.yml
00:16:49.637957 [info ]: Loading ~/.dbt/profiles.yml
00:17:00.759246 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.012950 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.290417 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.355384 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.480548 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.634981 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.805140 [info ]: Loading ~/.dbt/profiles.yml
00:18:29.995396 [info ]: Loading ~/.dbt/profiles.yml
00:18:30.180264 [info ]: Loading ~/.dbt/profiles.yml
00:18:30.384970 [info ]: Loading ~/.dbt/profiles.yml
00:18:30.790471 [info ]: Loading ~/.dbt/profiles.yml
00:21:16.067443 [info ]: Loading ~/.dbt/profiles.yml
00:21:18.142371 [info ]: Loading ~/.dbt/profiles.yml
00:21:27.703946 [info ]: Loading ~/.dbt/profiles.yml
00:21:31.237583 [info ]: Loading ~/.dbt/profiles.yml
00:21:31.479937 [info ]: Loading ~/.dbt/profiles.yml
00:21:31.576240 [info ]: Loading ~/.dbt/profiles.yml
00:21:31.871094 [info ]: Loading ~/.dbt/profiles.yml
00:23:28.451277 [info ]: Loading ~/.dbt/profiles.yml
00:23:45.477082 [info ]: Loading ~/.dbt/profiles.yml
00:23:45.727116 [info ]: Loading ~/.dbt/profiles.yml
00:23:45.806245 [info ]: Loading ~/.dbt/profiles.yml
00:23:45.887844 [info ]: Loading ~/.dbt/profiles.yml
00:23:46.296573 [info ]: Loading ~/.dbt/profiles.yml
00:24:03.115621 [info ]: Loading ~/.dbt/profiles.yml
00:24:34.766421 [info ]: Loading ~/.dbt/profiles.yml
00:24:36.939873 [info ]: Loading ~/.dbt/profiles.yml
00:24:39.471202 [info ]: Loading ~/.dbt/profiles.yml
00:24:39.743659 [info ]: Loading ~/.dbt/profiles.yml
00:24:39.817741 [info ]: Loading ~/.dbt/profiles.yml
00:24:39.896588 [info ]: Loading ~/.dbt/profiles.yml
00:24:40.277804 [info ]: Loading ~/.dbt/profiles.yml
00:27:37.440298 [info ]: Loading ~/.dbt/profiles.yml
00:27:39.942501 [info ]: Loading ~/.dbt/profiles.yml
00:30:40.275762 [info ]: Loading ~/.dbt/profiles.yml
00:30:42.263151 [info ]: Loading ~/.dbt/profiles.yml
00:49:52.517006 [info ]: Loading ~/.dbt/profiles.yml
00:49:54.423767 [info ]: Loading ~/.dbt/profiles.yml
00:59:27.826809 [info ]: Loading ~/.dbt/profiles.yml
00:59:29.662143 [info ]: Loading ~/.dbt/profiles.yml
01:41:28.559478 [info ]: Loading ~/.dbt/profiles.yml
01:41:31.442217 [info ]: Loading ~/.dbt/profiles.yml
01:59:37.726047 [info ]: Loading ~/.dbt/profiles.yml
01:59:39.567538 [info ]: Loading ~/.dbt/profiles.yml
02:40:20.728520 [info ]: Loading ~/.dbt/profiles.yml
02:40:22.497347 [info ]: Loading ~/.dbt/profiles.yml
02:45:11.410805 [info ]: Loading ~/.dbt/profiles.yml
02:45:14.469793 [info ]: Loading ~/.dbt/profiles.yml
03:25:47.951546 [info ]: Loading ~/.dbt/profiles.yml
03:25:50.484767 [info ]: Loading ~/.dbt/profiles.yml
03:43:53.874099 [info ]: Loading ~/.dbt/profiles.yml
03:43:56.168232 [info ]: Loading ~/.dbt/profiles.yml
03:45:33.918300 [info ]: Loading ~/.dbt/profiles.yml
03:45:34.174526 [info ]: Loading ~/.dbt/profiles.yml
03:45:34.368127 [info ]: Loading ~/.dbt/profiles.yml
03:45:34.534859 [info ]: Loading ~/.dbt/profiles.yml
03:45:34.708255 [info ]: Loading ~/.dbt/profiles.yml
03:45:35.149405 [info ]: Loading ~/.dbt/profiles.yml
03:46:56.510369 [info ]: Loading ~/.dbt/profiles.yml
03:46:59.290787 [info ]: Loading ~/.dbt/profiles.yml
03:49:21.310773 [info ]: Loading ~/.dbt/profiles.yml
03:49:59.580607 [info ]: Loading ~/.dbt/profiles.yml
03:50:01.269703 [info ]: Loading ~/.dbt/profiles.yml
03:51:09.584836 [info ]: Loading ~/.dbt/profiles.yml
03:51:22.773102 [info ]: Loading ~/.dbt/profiles.yml
03:51:32.328717 [info ]: Loading ~/.dbt/profiles.yml
03:51:45.350062 [info ]: Loading ~/.dbt/profiles.yml
03:51:45.701964 [info ]: Loading ~/.dbt/profiles.yml
03:52:09.685982 [info ]: Loading ~/.dbt/profiles.yml
03:52:09.960907 [info ]: Loading ~/.dbt/profiles.yml
03:52:10.031621 [info ]: Loading ~/.dbt/profiles.yml
03:52:10.117993 [info ]: Loading ~/.dbt/profiles.yml
03:52:10.411768 [info ]: Loading ~/.dbt/profiles.yml
03:52:10.511815 [info ]: Loading ~/.dbt/profiles.yml
03:52:10.810015 [info ]: Loading ~/.dbt/profiles.yml
03:52:25.557267 [info ]: Loading ~/.dbt/profiles.yml
03:52:31.109560 [info ]: Loading ~/.dbt/profiles.yml
03:53:01.648126 [info ]: Loading ~/.dbt/profiles.yml
03:53:03.925874 [info ]: Loading ~/.dbt/profiles.yml
03:54:54.471821 [info ]: Loading ~/.dbt/profiles.yml
03:54:54.747215 [info ]: Loading ~/.dbt/profiles.yml
03:54:54.816248 [info ]: Loading ~/.dbt/profiles.yml
03:54:54.881073 [info ]: Loading ~/.dbt/profiles.yml
03:54:55.060948 [info ]: Loading ~/.dbt/profiles.yml
03:54:55.465353 [info ]: Loading ~/.dbt/profiles.yml
03:55:43.608353 [info ]: Loading ~/.dbt/profiles.yml
03:55:44.315670 [info ]: Loading ~/.dbt/profiles.yml
03:56:04.751880 [info ]: Loading ~/.dbt/profiles.yml
03:56:06.493855 [info ]: Loading ~/.dbt/profiles.yml
03:56:14.499151 [info ]: Loading ~/.dbt/profiles.yml
03:56:15.377530 [info ]: Loading ~/.dbt/profiles.yml
03:58:46.390388 [info ]: Loading ~/.dbt/profiles.yml
03:58:46.737337 [info ]: Loading ~/.dbt/profiles.yml
03:58:59.206748 [info ]: Loading ~/.dbt/profiles.yml
03:58:59.820894 [info ]: Loading ~/.dbt/profiles.yml
03:59:06.946375 [info ]: Loading ~/.dbt/profiles.yml
03:59:08.545609 [info ]: Loading ~/.dbt/profiles.yml
04:02:09.106748 [info ]: Loading ~/.dbt/profiles.yml
04:02:10.946167 [info ]: Loading ~/.dbt/profiles.yml
04:05:40.227054 [info ]: Loading ~/.dbt/profiles.yml
04:05:41.994456 [info ]: Loading ~/.dbt/profiles.yml
04:05:47.081293 [info ]: Loading ~/.dbt/profiles.yml
04:06:14.706577 [info ]: Loading ~/.dbt/profiles.yml
04:06:14.954668 [info ]: Loading ~/.dbt/profiles.yml
04:06:15.044692 [info ]: Loading ~/.dbt/profiles.yml
04:06:15.129396 [info ]: Loading ~/.dbt/profiles.yml
04:06:15.282155 [info ]: Loading ~/.dbt/profiles.yml
04:06:15.456055 [info ]: Loading ~/.dbt/profiles.yml
04:06:15.844207 [info ]: Loading ~/.dbt/profiles.yml
04:09:26.569546 [info ]: Loading ~/.dbt/profiles.yml
04:09:28.815889 [info ]: Loading ~/.dbt/profiles.yml
04:09:50.820010 [info ]: Loading ~/.dbt/profiles.yml
04:09:51.888015 [info ]: Loading ~/.dbt/profiles.yml
04:10:12.938387 [info ]: Loading ~/.dbt/profiles.yml
04:10:13.626232 [info ]: Loading ~/.dbt/profiles.yml
04:11:06.819982 [info ]: Loading ~/.dbt/profiles.yml
04:11:07.169193 [info ]: Loading ~/.dbt/profiles.yml
04:11:20.186802 [info ]: Loading ~/.dbt/profiles.yml
04:11:20.533087 [info ]: Loading ~/.dbt/profiles.yml
04:11:20.969811 [info ]: Loading ~/.dbt/profiles.yml
04:12:29.332517 [info ]: Loading ~/.dbt/profiles.yml
04:12:31.663688 [info ]: Loading ~/.dbt/profiles.yml
04:12:35.698724 [info ]: Loading ~/.dbt/profiles.yml
04:12:35.958176 [info ]: Loading ~/.dbt/profiles.yml
04:12:36.032320 [info ]: Loading ~/.dbt/profiles.yml
04:12:36.141828 [info ]: Loading ~/.dbt/profiles.yml
04:12:36.529105 [info ]: Loading ~/.dbt/profiles.yml
04:14:17.243945 [info ]: Loading ~/.dbt/profiles.yml
04:14:17.555333 [info ]: Loading ~/.dbt/profiles.yml
04:14:18.041150 [info ]: Loading ~/.dbt/profiles.yml
04:15:30.325497 [info ]: Loading ~/.dbt/profiles.yml
04:15:32.404301 [info ]: Loading ~/.dbt/profiles.yml
04:15:34.613768 [info ]: Loading ~/.dbt/profiles.yml
04:15:43.873681 [info ]: Loading ~/.dbt/profiles.yml
04:15:44.293879 [info ]: Loading ~/.dbt/profiles.yml
04:16:02.934587 [info ]: Loading ~/.dbt/profiles.yml
05:03:21.652042 [info ]: Loading ~/.dbt/profiles.yml
05:03:24.325345 [info ]: Loading ~/.dbt/profiles.yml
05:04:56.272357 [info ]: Loading ~/.dbt/profiles.yml
05:04:56.586044 [info ]: Loading ~/.dbt/profiles.yml
05:04:56.619832 [info ]: Loading ~/.dbt/profiles.yml
05:04:56.974679 [info ]: Loading ~/.dbt/profiles.yml
05:05:21.721208 [info ]: Loading ~/.dbt/profiles.yml
05:05:21.991564 [info ]: Loading ~/.dbt/profiles.yml
05:05:22.368182 [info ]: Loading ~/.dbt/profiles.yml
05:05:41.053231 [info ]: Loading ~/.dbt/profiles.yml
05:05:41.424245 [info ]: Loading ~/.dbt/profiles.yml
05:16:23.094436 [info ]: Loading ~/.dbt/profiles.yml
05:16:24.831989 [info ]: Loading ~/.dbt/profiles.yml
05:48:38.083811 [info ]: Loading ~/.dbt/profiles.yml
05:48:40.826847 [info ]: Loading ~/.dbt/profiles.yml
05:48:58.520434 [info ]: Loading ~/.dbt/profiles.yml
05:50:17.330606 [info ]: Loading ~/.dbt/profiles.yml
05:50:17.608080 [info ]: Loading ~/.dbt/profiles.yml
05:50:17.661174 [info ]: Loading ~/.dbt/profiles.yml
05:50:17.796689 [info ]: Loading ~/.dbt/profiles.yml
05:50:17.975725 [info ]: Loading ~/.dbt/profiles.yml
05:50:18.170230 [info ]: Loading ~/.dbt/profiles.yml
05:50:18.349287 [info ]: Loading ~/.dbt/profiles.yml
05:50:18.588379 [info ]: Loading ~/.dbt/profiles.yml
05:50:18.986910 [info ]: Loading ~/.dbt/profiles.yml
05:50:59.890455 [info ]: Loading ~/.dbt/profiles.yml
05:51:00.142059 [info ]: Loading ~/.dbt/profiles.yml
05:51:00.236529 [info ]: Loading ~/.dbt/profiles.yml
05:51:00.285758 [info ]: Loading ~/.dbt/profiles.yml
05:51:00.460829 [info ]: Loading ~/.dbt/profiles.yml
05:51:00.619432 [info ]: Loading ~/.dbt/profiles.yml
05:51:01.018854 [info ]: Loading ~/.dbt/profiles.yml
05:51:20.609806 [info ]: Loading ~/.dbt/profiles.yml
05:51:20.952588 [info ]: Loading ~/.dbt/profiles.yml
05:51:27.788182 [info ]: Loading ~/.dbt/profiles.yml
05:51:28.124859 [info ]: Loading ~/.dbt/profiles.yml
05:51:41.301568 [info ]: Loading ~/.dbt/profiles.yml
05:51:43.239500 [info ]: Loading ~/.dbt/profiles.yml
05:54:30.312132 [info ]: Loading ~/.dbt/profiles.yml
05:54:30.647042 [info ]: Loading ~/.dbt/profiles.yml
05:54:43.562943 [info ]: Loading ~/.dbt/profiles.yml
05:54:44.926435 [info ]: Loading ~/.dbt/profiles.yml
05:55:25.196441 [info ]: Loading ~/.dbt/profiles.yml
05:55:25.471008 [info ]: Loading ~/.dbt/profiles.yml
05:55:25.525640 [info ]: Loading ~/.dbt/profiles.yml
05:55:25.632021 [info ]: Loading ~/.dbt/profiles.yml
05:55:26.026732 [info ]: Loading ~/.dbt/profiles.yml
05:55:45.904533 [info ]: Loading ~/.dbt/profiles.yml
05:55:46.348964 [info ]: Loading ~/.dbt/profiles.yml
05:55:46.746469 [info ]: Loading ~/.dbt/profiles.yml
05:56:19.795060 [info ]: Loading ~/.dbt/profiles.yml
05:56:20.461546 [info ]: Loading ~/.dbt/profiles.yml
05:57:11.735566 [info ]: Loading ~/.dbt/profiles.yml
05:57:12.187556 [info ]: Loading ~/.dbt/profiles.yml
21:28:47.403298 [info ]: Loading ~/.dbt/profiles.yml
21:28:52.760538 [info ]: Loading ~/.dbt/profiles.yml
21:31:48.990105 [info ]: Loading ~/.dbt/profiles.yml
21:31:49.210853 [info ]: Loading ~/.dbt/profiles.yml
21:31:49.298923 [info ]: Loading ~/.dbt/profiles.yml
21:31:49.360341 [info ]: Loading ~/.dbt/profiles.yml
21:31:49.510829 [info ]: Loading ~/.dbt/profiles.yml
21:31:49.912501 [info ]: Loading ~/.dbt/profiles.yml
21:31:50.690244 [info ]: Loading ~/.dbt/profiles.yml
21:31:52.588210 [info ]: Loading ~/.dbt/profiles.yml
21:32:12.003023 [info ]: Loading ~/.dbt/profiles.yml
21:32:12.798137 [info ]: Loading ~/.dbt/profiles.yml
21:38:39.290671 [info ]: Loading ~/.dbt/profiles.yml
21:38:42.164582 [info ]: Loading ~/.dbt/profiles.yml
